Main Entity Name,Trade Name DBA,Facility Address,Neighborhood,Application Status,Seeking Bos Equity Program,Map Location,First Contact Full Name,Second Contact Full Name,Third Contact Full Name
"1220 WASHINGTON ST., INC.",The Boston Garden Dispensary,1220 Washington Street,SouthEnd,Under review,Yes,,,,
"684 Center Street, JP, LLC",Prolific Cannabis,"684 Centre Street
Jamaica Plain, MA 02130",JamaicaPlain,Conditionally approved,Yes,No,,,
"Apothca, Inc. f/k/a Massachusetts Patient Foundation, Inc.","Apothca, Inc.",54a Hyde Park Ave,JamaicaPlain,Open for operation,No,Yes,Joseph Lekach,,
Baba Ku llc,Baba Ku,"90 canal street 4th floor 
Boston mass 02114
is our current mailing address however we hope to establish a location and coordinate that process with the proper authorities in the city. We were hoping the city could take part in the process of finding a location suitable for the city of Boston and its citizens.",Boston,Withdrawn,Yes,No,Russell Rounbehler Jr.,,
Bay State Herbal Solutions,NA,"464 Hanover Street, Unit A",NorthEnd,Complete equity pending hearing,Yes,,,,
"Baystate Herbal solutions, Inc.",Baystate Herbal Solutions,178-180 Harvard Ave.,Boston,Withdrawn,Yes,Yes,,,
Baystate Herbal Solutions Inc.,Baystate Herbal Solutions Inc.,"89 Strathmore Road, 25",Brighton,Withdrawn,Yes,,,,
"Beacon Compassion, Inc",Beacon Compassion,1524 VFW Parkway,WestRoxbury,Conditionally approved,No,Yes,Stephen Angelo,Catherine (Rina) Cametti,
"Beacon Compassion, Inc.",HiFive,1524 VFW Parkway,WestRoxbury,Conditionally approved,No,Yes,,,
Berkshire Roots Inc.,Berkshire Roots Inc.,251-253 Meridian Street,EastBoston,Approved,No,Yes,,,
Boston One Nubian-Bury Delivery,Boston One Nubian-Bury Delivery,255-257 Quincy Street,Boston,Inactive,Yes,No,,,
BOSTON ONE NUBIAN-BURY DELIVERY,BOSTON ONE NUBIAN-BURY DELIVERY,60 Dudley street,Roxbury,Withdrawn,Yes,No,Duane E Osborn,,
Boston Recreational Cannabis LLC,Boston Recreational Cannabis LLC,150 Southampton St Boston MA,SouthBoston,Inactive,Yes,No,,,
Boston Urban Dispensary LLC,Boston Urban Dispensary LLC,"1114-1118 Blue Hill Ave
Dorchester Ma 02124",Mattapan,Deferred,Yes,No,Edwin Alicea,Ivan  Montes ,
Build A Life Legacy,Flower Xpress,"31 Standard St
Apt 3",Mattapan,Inactive,Yes,No,Marquis Craig Cohen,DRUDYS LEDBETTER,
Build A Life Legacy LLC,The POT,536-538 River Street,Mattapan,Complete equity pending hearing,Yes,,,,
Build A Life Legacy LLC,The POT,1187 Blue Hill Avenue,Mattapan,Withdrawn,Yes,Yes,,,
Cannabis Healing LLC,Cannabis Healing,"4 Neptune Rd, East Boston, MA 02128",EastBoston,Conditionally approved,No,No,Brian Jones II,Wanda Pettigrew Jones ,JW Asset + Webber Fund 
"CastleLeaf, LLC","CastleLeaf, LLC","100 Leo M. Birmingham Parkway
Brighton, MA 02135",Brighton,Approved,No,No,Michael Giannone,Michael Dennis McDade,John Gulezian
Cloudfarming LLC,Corner Stalk Farm,50 Condor St,EastBoston,Approved,No,Yes,Shawn Cooney,Constance Cooney,
CNA Stores Inc.,CNA Stores Inc.,70 Von Hillern Street,Dorchester,Conditionally approved,No,No,,,
"Community Growth Partners Delivery, Inc.",Rebelle,"Unit 1
102-106 South Street
Boston, MA 02111",ChinatownLeatherDistrict,Withdrawn,Yes,,,,
d,d,d,BackBay,Withdrawn,No,,,,
"DCC, Inc.","DCC, Inc.",1953 Dorchester Ave. ground floor,Dorchester,Complete equity pending hearing,Yes,,,,
Ember Gardens Boston LLC,Ember Gardens,297 Newbury Street 1st Floor,BackBay,Conditionally approved,Yes,No,Shane Hyde,Joseph Hoffman ,George Friedlander 
"EnRoot, LLC",EnRoot,415 Blue Hill Avenue,Dorchester,Approved,Yes,Yes,,,
Erba C3 Dorchester LLC,N/A,"43 Freeport Suite
First Floor",Dorchester,Approved,Yes,Yes,See table,,
Finest Drinks and Edibles Company,Finest,"56 Evelyn St 
Apt 3",Mattapan,Withdrawn,Yes,No,Dara Toney,,
"Gi's Complex, LLC",Gi's Deliveries,"9 Livingstone Street
Dorchester, MA 02124",Dorchester,Inactive,No,No,John Gioiosa,,
"Gi's Deliveries,LLC",Gi's Deliveries,"17 Livingstone Street
Boston, MA 02124",Dorchester,Inactive,No,,,,
Green Rain LLC,Green Rin Delivery,"Office 452
90 Canal St
4th Floor
Boston MA
02114",WestEnd,Inactive,No,,,,
