license_num,historicallicensenum,status,business_name,dba_name,location_comments,applicant,manager,evening_phone,address,Neighborhood,gpsx,gpsy
LB-485386,,Active,Dorchester Market LLC,Dorchester Market,"Accessory retail sales of wine & malt beverages (for off-premise consumption) in one room located inside a small, new neighborhood grocery market of approximately 2,800SF. 1 floor in a 5 story building. ", Dorchester Market LLC, Peter McGee,,951-  Dorchester AV,Dorchester,775975.7183,2941310.076
LB-481088,,Active,Yak Thai Inc.,Thonglor,"1,000SF: in one room on first floor (seating for 32), kitchen in rear, storage in basement.", Yak Thai Inc., Piyapong Wongla,,559-  Washington ST,Brighton,747073.2909,2952561.784
LB-476655,,Active,HOMESTEAD BAKERY & CAFE LLC,,"homestead bakery & cafe LLC is located on the ground floor of approximately 1,000SF. There is a handicap-accessible bathroom, an open kitchen, and a dining area with 31 seats. There is additional storage space in the basement not accessible to the patrons. ", homestead bakery & cafe LLC, Annie Le,,1448-  Dorchester AVE,Dorchester,775264.7701,2935070.641
LB-445763,,Active,Grove Hall Foods Corp.,Grove Hall Convenience Market II,, Grove Hall Foods Corp., Edward Guerrero,,292-   Talbot AVE,Boston,771330.8176,2931369.99
LB-469486,,Active,Rupal Corporation,J&J Discount Mini Mart,"Premise is located at 131 West Broadway South Boston- Retail Store on 1st Floor consisting of approximately 1,400SF of land , storage located in the basement and has three arrears of egress. ", Rupal Corporation, Michael David Gannon,,131- W Broadway ,South Boston,776653,2949530
LB-483679,,Active,"PremAir of Boston, LLC",Harpoon Tap Room,"Logan International Airport, Terminal A, space AS2-A13/1. Post security, satellite, gate area, total square footage is 1,358 with a seating capacity of 65.   "," PremAir of Boston, LLC.", Kelliann Van Kleeck McClintock,,100     Terminal RD,East Boston,785396.804,2958229.843
LB-482851,,Active,"DELTA AIR LINES, INC.",Delta Sky Club Express,"Approximately 3,506 SF of lounge space on a single floor located in Terminal E of Logan Airport with 81 seats, reception area, dining and buffet area, pantry storage restrooms, one entrance and two exits."," Delta Air Lines, Inc.", Rebecca Bassila,,"      Logan Airport, Terminal E  ",East Boston,0,0
LB-480008,,Active,"La Riqueza Market, Inc. ",La Riqueza Market,"3 story preexisting structure with convenience store on first floor (855SF).  First floor includes one room for the convenience store, private storage areas, and an employee restroom. ", La Riqueza Market Inc, Jose W. Perez,,132-   Meridian ST,Boston,780664.9568,2961534.746
LB-481086,,Active,Fresh Boston Retail LLC,Fresh Boston,In one section of first floor of 232 Old Colony Avenue consisting of 341 square feet with one entrance., Fresh Boston Retail LLC, Alexis Sillery,,232-  Old Colony AV,South Boston,776951.1743,2946439.715
LB-476657,,Active,"DLW DINE BOSTON, LLC",Dine Boston Bar & Grille,"a 3,405SF full-service bar and restaurant (seating for 95) on the 3rd level at the west end (pre-security) of Terminal E.  "," DLW Dine Boston, LLC", Antonio Alicea,,"      Logan Airport, Terminal E  ",East Boston,0,0
