Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future,Grant_Existing,GO_Expended,Capital_Year_0,CapitalYear_1,Capital_Year_25,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_25,External_Funds,Total_Project_Budget
Transportation Department,Vision Zero: Neighborhood Slow Streets,Design and construct Neighborhood Slow Street zones throughout the City.,Transportation Department,Annual Program,Various neighborhoods, -   , -   , -   ,"10,900,000", -   , -   , -   , -   ,"1,336,123","1,598,846","4,000,000","3,965,031", -   ,"10,900,000"
Transportation Department,Vision Zero,"Implement roadway design changes to reduce speeds, control movements, and improve the visibility of vulnerable users.",Transportation Department,Annual Program,Various neighborhoods,"17,922,192", -   ,"2,077,808","8,000,000","11,616,991","1,500,000","2,000,000","4,883,009","201,864","2,298,136","4,000,000","1,500,000", -   ,"28,000,000"
Parks and Recreation Department,Boston Common Master Plan,Develop a master plan to bring the nation's oldest public park to the level of excellence commensurate with its historical importance and use by the Citys residents and visitors.,Parks and Recreation Department,Study Underway,Beacon Hill, -   , -   , -   ,"23,000,000", -   , -   , -   , -   ,"601,770","398,230","1,000,000","21,000,000", -   ,"23,000,000"
Parks and Recreation Department,Boston Common Tadpole Play Lot,"Revitalize the Boston Common playground including new play equipment, safety surfacing and site furnishings.",Parks and Recreation Department,To Be Scheduled,Beacon Hill,"150,000","850,000", -   , -   , -   , -   ,"50,000","950,000", -   , -   , -   , -   , -   ,"1,000,000"
Boston Public Schools,Adams School Roof and Masonry,Replace roof and repair parapet masonry.,Public Facilities Department,In Construction,East Boston,"1,090,051", -   , -   , -   ,"47,665","400,000","642,386", -   , -   , -   , -   , -   , -   ,"1,090,051"
Department of Innovation and Technology,Trunked Radio System,Design and implementation of upgrades to the trunked radio system.,DoIT,Implementation Underway,N/A,"5,740,000","416,000", -   , -   ,"270,000","730,000","3,000,000","2,156,000", -   , -   , -   , -   , -   ,"6,156,000"
Transportation Department,Blossom Street,"Upgrades to Blossom Street including upgraded lighting, geometric changes for pedestrian safety, roadway resurfacing, and pavement markings including bicyclist accommodations.",Public Works Department,In Design,West End, -   , -   , -   ,"2,000,000", -   , -   , -   , -   , -   , -   ,"200,000","1,800,000", -   ,"2,000,000"
Transportation Department,Transportation Action Plan Implementation,Create conceptual designs for key projects identified from planning studies and action plans.,Transportation Department,Annual Program,Various neighborhoods,"300,000", -   , -   , -   , -   , -   ,"150,000","150,000", -   , -   , -   , -   , -   ,"300,000"
Transportation Department,Arboretum Gateway Path,"Construct the Arboretum Gateway Path, which will create new entrances to the Arnold Arboretum and extend the Blackwell path south to Roslindale Square. The first phase includes a new entrance at the end of Arboretum Road.",Transportation Department,In Design,Various neighborhoods,"200,000","100,000", -   ,"200,000", -   , -   ,"100,000","200,000", -   , -   ,"50,000","150,000","500,000","1,000,000"
Office of Arts & Culture,The Legacy of Frederick Douglass,Fabricate and install a bronze figure grouping and construct a plaza honoring Frederick Douglass in Douglass Square.,Office of Arts and Culture,To Be Scheduled,Roxbury,"550,000", -   , -   , -   , -   , -   ,"50,000","500,000", -   , -   , -   , -   , -   ,"550,000"
Police Department,Technology Upgrades at District Stations,Software upgrades to enhance digital security at BPD locations.,Police Department,To Be Scheduled,Various neighborhoods,"1,890,000", -   , -   , -   , -   , -   , -   ,"1,890,000", -   , -   , -   , -   , -   ,"1,890,000"
Boston Public Schools,Accreditation Improvements at Various Schools,Renovate or make building improvements necessary to meet or maintain school building accreditation standards.,Boston Public Schools,Annual Program,Various neighborhoods,"3,000,000", -   ,"1,000,000", -   ,"409,750","500,000","500,000","2,590,250", -   , -   , -   , -   , -   ,"4,000,000"
Public Works Department,Commonwealth Avenue Phase 3 and 4,"Design and reconstruct Commonwealth Avenue from Packards Corner to Kelton Street, with the addition of a cycle track. State construction funding anticipated.",Public Works Department,In Design,Allston/Brighton,"2,500,000", -   , -   , -   ,"1,056,896","200,000","200,000","1,043,104", -   , -   , -   , -   , -   ,"2,500,000"
Public Works Department,Sullivan Square / Rutherford Avenue,Engineering and design services to provide for corridor-wide transportation improvements. State and federal funding anticipated.,Transportation Department,In Design,Charlestown,"3,706,000", -   , -   ,"3,809,403","2,732,783","973,217", -   , -   ,"3,109,403","600,000","100,000", -   ,"162,000,000","169,515,403"
Parks and Recreation Department,Bussey Brook Meadow Trail at Arnold Arboretum,"Repair and extension of walking paths, wetland habitat restoration and improvements to Bussey Brook flood retention capacity.",Parks and Recreation Department,To Be Scheduled,Jamaica Plain,"600,000", -   , -   , -   , -   , -   ,"25,000","575,000", -   , -   , -   , -   , -   ,"600,000"
Public Works Department,Commonwealth Avenue Phase 3B,Construction of pedestrian and bicyclist safety measures on Commonwealth Avenue at and near the intersection of Harvard Avenue.,Public Works Department,In Design,Allston/Brighton, -   , -   ,"10,000,000","1,000,000", -   , -   , -   ,"10,000,000", -   , -   ,"100,000","900,000", -   ,"11,000,000"
Public Works Department,Street Light LED Conversion,A City-wide project to convert mercury and sodium vapor streetlights to light emitting diode (LED) lights.,Public Works Department,Annual Program,Citywide,"1,000,000","540,000", -   , -   , -   , -   ,"1,540,000", -   , -   , -   , -   , -   , -   ,"1,540,000"
Public Works Department,Street Light Gas Lamps,"Using utility subsidies, this program is designed to retrofit solar powered timers to activate gas lamp street lights.",Public Works Department,Annual Program,Various neighborhoods,"950,000", -   ,"900,000","187,500","79,400","100,000","450,000","1,220,600","24,250","28,250", -   ,"135,000", -   ,"2,037,500"
Public Works Department,Congress Street and Sleeper Street,"Reconstruct Congress Street from Fort Point Channel to West Service Road and Sleeper Street to Complete Streets standards where applicable, in order to provide safe multi-modal streets, including; new sidewalks, street lights, trees and street furniture.",Public Works Department,In Design,South Boston,"4,700,000","2,650,000", -   ,"250,000", -   , -   ,"650,000","6,700,000", -   , -   ,"250,000", -   , -   ,"7,600,000"
Transportation Department,Strategic Bike Network: Cambridge Street,Construct protected bicycle lanes on Cambridge Street in Brighton between Harvard Street and Soldiers Field Road.,Public Works Department,To Be Scheduled,Allston/Brighton,"900,000", -   , -   , -   , -   , -   ,"300,000","600,000", -   , -   , -   , -   , -   ,"900,000"
Transportation Department,Strategic Bike Network Project,Maximize usage in existing high volume bike lanes via construction of bike lane extensions and connections with Citywide key bike corridors. Implement new bike corridor accelerator to complete large parts of downtown and outlying networks.,Transportation Department,Annual Program,Citywide,"9,650,000","4,650,000", -   ,"1,000,000","2,691,315","1,358,685","4,650,000","5,600,000","851,314","148,686", -   , -   , -   ,"15,300,000"
Office of Arts & Culture,Strand Theater,Study to assess capital needs at the Strand Theater.,Public Facilities Department,To Be Scheduled,Dorchester,"250,000", -   , -   , -   , -   , -   , -   ,"250,000", -   , -   , -   , -   , -   ,"250,000"
Public Works Department,Cambridge Street Bridge,"Rehabilitate bridge, performing repairs as needed.",Public Works Department,To Be Scheduled,Charlestown, -   ,"4,250,000", -   ,"750,000", -   , -   ,"500,000","3,750,000", -   , -   ,"750,000","2,000,000", -   ,"7,000,000"
Police Department,Station Facility Repairs,Capital maintenance at various BPD facilities including exterior repairs.,Police Department,To Be Scheduled,Various neighborhoods,"1,500,000", -   , -   , -   , -   , -   , -   ,"1,500,000", -   , -   , -   , -   , -   ,"1,500,000"
Public Works Department,Cummins Highway,"Reconstruct road, make traffic improvements, install new pedestrian ramps, enhance bike access, install new tree plantings, and improve lighting from River Street in Mattapan Square to Harvard Street.",Public Works Department,In Design,Mattapan,"12,000,000","12,000,000", -   , -   , -   , -   ,"2,000,000","22,000,000", -   , -   , -   , -   , -   ,"24,000,000"
Parks and Recreation Department,Bynoe Park,Upgrades to play equipment.,Parks and Recreation Department,In Design,Roxbury,"1,120,000", -   , -   , -   , -   ,"60,000","800,000","260,000", -   , -   , -   , -   , -   ,"1,120,000"
Parks and Recreation Department,Animal Shelter,Develop a building program and assess siting options.,Public Facilities Department,Study Underway,Roxbury,"100,000","5,000,000", -   , -   ,"48,850","11,150","1,500,000","3,540,000", -   , -   , -   , -   , -   ,"5,100,000"
Transportation Department,Southwest Corridor Bike Path Extension,"Advance planning and design for a Go Boston 2030 priority project that would extend the Southwest Corridor, via on-street bike facilities, to connect with major destinations in Downtown and Beacon Hill.",Transportation Department,In Design,Various neighborhoods, -   , -   , -   ,"250,000", -   , -   , -   , -   , -   ,"100,000","150,000", -   , -   ,"250,000"
Boston Public Schools,ARP 2019: Roofs and Boilers at 3 Schools,"Replace boiler at the Lyon School and roofs at the McKinley K-12 and Curley K-8 Schools, in conjunction with the MSBA Accelerated Repair Program.",Public Facilities Department,In Construction,Various neighborhoods,"3,527,867", -   , -   ,"3,922,740","354,066","1,973,801","1,200,000", -   ,"237,276","1,685,464","2,000,000", -   , -   ,"7,450,607"
Boston Centers for Youth and Families,BCYF Allston Program Study,Develop building program and assess siting options for a new community center in Allston/Brighton.,Public Facilities Department,Study Underway,Allston/Brighton,"125,000", -   , -   , -   , -   ,"10,000","50,000","65,000", -   , -   , -   , -   , -   ,"125,000"
Boston Public Library,South Boston Branch Library Study,Conduct a facility assessment and develop a building program that reflects the BPL's Compass Principles and supports the needs of the neighborhood. Design and construct a new branch library.,Public Facilities Department,To Be Scheduled,South Boston,"250,000", -   , -   , -   , -   , -   ,"100,000","150,000", -   , -   , -   , -   , -   ,"250,000"
Boston Centers for Youth and Families,BCYF Community Center Program Studies,Develop building programs and assess siting options for new community centers in Dorchester and Charlestown.,Public Facilities Department,Study Underway,Various neighborhoods,"200,000", -   , -   , -   ,"54,892","120,108","25,000", -   , -   , -   , -   , -   , -   ,"200,000"
Parks and Recreation Department,Ceylon Park,"Design of park improvements including upgrades to artificial turf, sports lighting, basketball court, playgrounds, splash pad, spectator seating, and accessibility.",Parks and Recreation Department,To Be Scheduled,Roxbury,"500,000", -   ,"3,600,000", -   , -   , -   ,"100,000","4,000,000", -   , -   , -   , -   , -   ,"4,100,000"
Public Works Department,District Yard Improvements ,Facility assessment and improvements to the City's district yards utilized by the Public Works Department.,Public Works Department,To Be Scheduled,Various neighborhoods,"650,000", -   , -   , -   , -   , -   ,"75,000","575,000", -   , -   , -   , -   , -   ,"650,000"
Public Works Department,Sidewalk Reconstruction,Response to 311 requests for sidewalk and ramp repairs and reconstruction.,Public Works Department,Annual Program,Citywide,"2,000,000", -   ,"1,000,000", -   , -   , -   ,"2,500,000","500,000", -   , -   , -   , -   , -   ,"3,000,000"
Boston Public Schools,Auditorium Improvements,"Repair and upgrade auditorium facilities at various schools, including lighting, seating, and sound equipment.",Boston Public Schools,To Be Scheduled,Citywide,"250,000","1,750,000", -   , -   , -   , -   ,"1,000,000","1,000,000", -   , -   , -   , -   , -   ,"2,000,000"
Boston Public Schools,School Yard Improvements,"Design and construct school yard improvements including new play structures, safety surfacing, and landscaping.",Public Facilities Department,Annual Program,Various neighborhoods,"4,774,650", -   ,"2,400,000", -   ,"1,243,025","300,000","300,000","5,331,625", -   , -   , -   , -   , -   ,"7,174,650"
Parks and Recreation Department,Christopher Columbus Park,"Playground renovation including play structure, safety surfacing, fencing, lighting, site furnishings, pathway repairs, drainage, signage, and green infrastructure to mitigate future sea level rise.",Parks and Recreation Department,To Be Scheduled,North End,"3,500,000", -   , -   , -   , -   , -   ,"100,000","3,400,000", -   , -   , -   , -   , -   ,"3,500,000"
Transportation Department,Safe and Reliable Streets,"Support anti-congestion efforts Citywide through data collection, safety and public realm improvements. Includes staff support to augment operational needs. Funded by state TNC revenue.",Transportation Department,Annual Program,Various neighborhoods, -   , -   , -   ,"6,023,207", -   , -   , -   , -   ,"1,602,566","1,490,608","2,000,000","1,280,033", -   ,"6,373,207"
Parks and Recreation Department,Clarendon Street Playground,Upgrade play equipment.,Parks and Recreation Department,In Design,Back Bay,"1,730,000", -   , -   , -   ,"42,710","187,290","1,000,000","500,000", -   , -   , -   , -   , -   ,"1,730,000"
Parks and Recreation Department,Codman Square,Implementation of redesign of Codman Square Park.,Parks and Recreation Department,In Design,Dorchester,"640,000", -   , -   , -   ,"4,485","15,515","120,000","500,000", -   , -   , -   , -   ,"1,170,000","1,810,000"
Public Works Department,Downtown Crossing,"Design improvements to the Washington Street/Summer Street/Winter Street intersections, including reconstruction of the roadway, implementation of a pedestrian zone or shared street, and security improvements.",Public Works Department,In Design,Financial District/Downtown,"700,000","1,000,000", -   , -   ,"32,231","267,769","400,000","1,000,000", -   , -   , -   , -   , -   ,"1,700,000"
Parks and Recreation Department,Commonwealth Avenue Mall: Kenmore Block,"Design for improvements to pathways, site furnishings, utilities, storm water infrastructure, irrigation, and plantings.",Parks and Recreation Department,To Be Scheduled,Fenway/Kenmore,"250,000", -   , -   , -   , -   , -   ,"50,000","200,000", -   , -   , -   , -   , -   ,"250,000"
Parks and Recreation Department,Copley Square Park,Complete park redesign to optimize resiliency to high traffic events and storm-water.,Parks and Recreation Department,In Design,Back Bay,"15,500,000", -   , -   , -   ,"162,000","838,000","1,500,000","13,000,000", -   , -   , -   , -   , -   ,"15,500,000"
Boston Centers for Youth and Families,BCYF Curley Community Center,Major renovation of existing building that supports re-programming the interior space and provides resilient protection from future sea level rise.,Public Facilities Department,In Construction,South Boston,"31,150,000", -   , -   , -   ,"4,951,939","10,000,000","13,800,000","2,398,061", -   , -   , -   , -   , -   ,"31,150,000"
Parks and Recreation Department,Coppens Square,Design and construction of park improvements including replacement of the Mayor Theodore Lyman fountain that was removed in 1951.,Parks and Recreation Department,In Design,Dorchester,"1,375,000","100,000", -   , -   , -   , -   ,"250,000","1,225,000", -   , -   , -   , -   , -   ,"1,475,000"
Parks and Recreation Department,Crawford Street Playground,"Design for a comprehensive park improvement including play area, little league field, and passive areas.",Parks and Recreation Department,In Design,Roxbury,"1,800,000", -   , -   , -   , -   ,"100,000","250,000","1,450,000", -   , -   , -   , -   , -   ,"1,800,000"
Boston Planning and Development Agency,RFMP Resiliency Improvements,Climate resilience improvements at the Raymond Flynn Marine Park.,Boston Planning and Development Agency,In Design,South Boston,"2,075,000", -   , -   , -   ,"153,974","21,026","500,000","1,400,000", -   , -   , -   , -   , -   ,"2,075,000"
Boston Planning and Development Agency,RFMP Pier 6,Develop design plans for the replacement of the Pier 6 steel bulkhead.,Boston Planning and Development Agency,In Design,South Boston,"400,000", -   , -   , -   ,"194,757","15,243","100,000","90,000", -   , -   , -   , -   , -   ,"400,000"
Boston Planning and Development Agency,RFMP Dry-dock 4,Develop a design for the permanent closure of the Dry-dock 4 caisson.,Boston Planning and Development Agency,In Design,South Boston,"250,000", -   , -   , -   ,"199,473","10,527","40,000", -   , -   , -   , -   , -   , -   ,"250,000"
Public Works Department,Retaining Walls,"Construction funds to support a multi-year capital improvement program to repair and maintain retaining walls in the public right-of-way.
",Public Works Department,Annual Program,Citywide,"1,200,000", -   , -   , -   ,"565,504","25,000","200,000","409,496", -   , -   , -   , -   , -   ,"1,200,000"
Boston Centers for Youth and Families,BCYF Marshall Community Center Pool,Repair pool systems at BCYF Marshall. Upgrade pool liner and filtration system.,Public Facilities Department,In Construction,Dorchester,"2,500,000", -   , -   , -   ,"128,305","900,000","771,695","700,000", -   , -   , -   , -   , -   ,"2,500,000"
Boston Centers for Youth and Families,BCYF Mattahunt Community Center,"Interior renovation that includes refurbishing the lobby, gymnasium, community room, and computer lab.",Public Facilities Department,In Construction,Mattapan,"12,700,000", -   , -   , -   ,"250,617","1,700,000","4,500,000","6,249,383", -   , -   , -   , -   , -   ,"12,700,000"
Police Department,Records Management Replacement,Replace existing records management system.,Police Department,Implementation Underway,N/A,"2,850,000", -   , -   , -   ,"1,445,244","204,756","1,200,000", -   , -   , -   , -   , -   , -   ,"2,850,000"
Parks and Recreation Department,Cutillo Park,"Design for a comprehensive park renovation including drainage, play lot, courts, passive areas, pathways, landscaping, site furnishings and infrastructure.",Parks and Recreation Department,In Design,North End,"2,000,000", -   , -   , -   ,"41,502","258,498","1,700,000", -   , -   , -   , -   , -   , -   ,"2,000,000"
Boston Public Schools,Bathroom Renovations at Various Schools,"Upgrade bathrooms at various schools, including fixtures, flooring, partitions, lighting, and paint.",Boston Public Schools,In Construction,Various neighborhoods,"6,000,000","2,000,000","2,000,000", -   ,"1,393,021","1,606,979","3,000,000","4,000,000", -   , -   , -   , -   , -   ,"10,000,000"
Boston Centers for Youth and Families,BCYF Mattahunt Community Center Exterior Lighting,Improve exterior lighting at the Mattahunt Community Center.  ,Public Facilities Department,To Be Scheduled,Mattapan,"500,000", -   , -   , -   , -   , -   ,"50,000","450,000", -   , -   , -   , -   , -   ,"500,000"
Parks and Recreation Department,Public Garden Tool Shed,Design of facility upgrades at the Public Garden Tool Shed.,Public Facilities Department,To Be Scheduled,Beacon Hill,"300,000", -   , -   , -   , -   , -   ,"100,000","200,000", -   , -   , -   , -   , -   ,"300,000"
Parks and Recreation Department,Daisy Field at Olmsted Park,"Park renovation including two softball fields, pathways, and LED sports lighting.",Parks and Recreation Department,In Design,Jamaica Plain,"1,140,000", -   , -   , -   , -   ,"100,000","900,000","140,000", -   , -   , -   , -   , -   ,"1,140,000"
Boston Centers for Youth and Families,Pool Repairs,"Renovate and upgrade locker rooms and pools including filtration systems, pool liners, and dehumidification and HVAC systems at various BCYF/BPS pool facilities.",Boston Centers for Youth and Families,Annual Program,Citywide,"1,000,000", -   , -   , -   , -   ,"390,000","500,000","110,000", -   , -   , -   , -   , -   ,"1,000,000"
Boston Centers for Youth and Families,BCYF Paris Street Pool,"Complete building renovation including upgrades to the mechanical systems, bathrooms and locker rooms, pool deck, lighting, and entryway. ",Public Facilities Department,In Construction,East Boston,"8,975,000", -   , -   , -   ,"3,717,738","4,502,262","680,000","75,000", -   , -   , -   , -   , -   ,"8,975,000"
Boston Centers for Youth and Families,BCYF Tobin Community Center Retaining Wall,Repair or replace the retaining wall adjacent to the BCYF Tobin Community Center.,Public Facilities Department,In Design,Mission Hill,"211,000","1,589,000", -   , -   , -   ,"25,000","175,000","1,600,000", -   , -   , -   , -   , -   ,"1,800,000"
Police Department,Police Academy HVAC Repairs,Replace HVAC and boiler system at the Police Academy.,Public Facilities Department,In Design,Hyde Park,"970,000", -   , -   , -   , -   ,"20,000","300,000","650,000", -   , -   , -   , -   , -   ,"970,000"
Parks and Recreation Department,Doherty-Gibson Playground ,Refurbish play lot and adjacent passive areas.,Parks and Recreation Department,In Construction,Dorchester,"1,120,000", -   , -   , -   ,"91,050","178,950","850,000", -   , -   , -   , -   , -   , -   ,"1,120,000"
Office of Arts & Culture,Percent for the Arts,"One percent of the Citys annual planned bond issuance is designated for the commissioning of permanent, public art in municipal spaces. Site selection will be coordinated with projects in the capital plan.",Office of Arts and Culture,Annual Program,Citywide,"10,200,000","3,250,000","1,550,000", -   ,"802,000","800,000","500,000","12,898,000", -   , -   , -   , -   , -   ,"15,000,000"
Parks and Recreation Department,Dorchester Park Pathways,Mill and repave existing paved walkways in Dorchester Park.,Parks and Recreation Department,To Be Scheduled,Dorchester,"1,820,000", -   , -   , -   , -   , -   ,"100,000","1,720,000", -   , -   , -   , -   , -   ,"1,820,000"
Parks and Recreation Department,Dudley Town Common,"Improvements to Dudley Town Common to support the use of this neighborhood ""Common"" for gathering and civic uses.",Parks and Recreation Department,In Design,Roxbury,"972,000", -   ,"298,000", -   , -   , -   ,"50,000","1,220,000", -   , -   , -   , -   , -   ,"1,270,000"
Transportation Department,Parking Meter and School Zone Signal Upgrade ,Upgrade the technological infrastructure for all City meters and school zone signals.,Transportation Department,In Construction,Various neighborhoods, -   , -   , -   ,"1,650,000", -   , -   , -   , -   , -   ,"150,000","250,000","1,250,000", -   ,"1,650,000"
Parks and Recreation Department,Mary Ellen Welch Greenway,"Design of comprehensive park improvements including sea level rise mitigation, storm water management upgrades, improvements to pathways, furnishings, plantings and murals.",Parks and Recreation Department,To Be Scheduled,East Boston,"400,000","2,900,000", -   , -   , -   , -   ,"50,000","3,250,000", -   , -   , -   , -   , -   ,"3,300,000"
Parks and Recreation Department,Edwards Playground,"Renovations to the playground including safety surfacing; passive park improvements including site furnishings, upgraded utilities and pathways.",Parks and Recreation Department,In Construction,Charlestown,"1,490,000", -   , -   , -   ,"80,411","1,009,589","400,000", -   , -   , -   , -   , -   , -   ,"1,490,000"
Boston Public Schools,Blackstone School Interior Renovations,"Refurbish building interior to include classroom enclosures, security measures, fire sprinklers, and related HVAC and fire alarm work in alignment with enclosure activities.",Public Facilities Department,To Be Scheduled,South End,"600,000", -   ,"4,400,000", -   , -   , -   , -   ,"5,000,000", -   , -   , -   , -   , -   ,"5,000,000"
Boston Public Schools,Boston Arts Academy,Design and construct a new facility that supports the requirements of the Boston Arts Academy. The MSBA will partner with the City in the development and funding of this new school.,Public Facilities Department,In Construction,Fenway/Kenmore,"88,480,296", -   , -   ,"48,890,620","49,842,667","27,637,629","11,000,000", -   ,"21,771,926","19,618,694","7,500,000", -   , -   ,"137,370,916"
Parks and Recreation Department,Field Lights at Various Parks,Upgrade park field lights at various locations including Hemenway Park and Fallon Field.,Parks and Recreation Department,In Construction,Various neighborhoods,"2,700,000", -   , -   , -   ,"65,816","68,000","50,000","2,516,184", -   , -   , -   , -   , -   ,"2,700,000"
Transportation Department,Nubian Square Improvements,"Roadway improvements from Shawmut Avenue to Harrison Avenue including six key Nubian Square intersections. The scope of work includes geometric changes, new traffic signal equipment and timing, bike lanes, and streetscape improvements.",Transportation Department,In Construction,Roxbury,"922,183", -   , -   ,"14,977,817","792,217","29,966","100,000", -   ,"4,000,421","1,977,396","5,000,000","6,000,000", -   ,"17,900,000"
Public Works Department,East Eagle Street Shoreline,Shoreline stabilization along Chelsea Creek near East Eagle Street.,Public Works Department,In Design,East Boston,"348,000", -   , -   , -   ,"122,000","26,000","200,000", -   , -   , -   , -   , -   ,"646,000","994,000"
Public Health Commission,Northampton Square Electrical Improvements,Implement electrical upgrades at Northampton Square including separation of the Miranda Creamer Low Rise electrical service from the High Rise.,Public Facilities Department,In Design,Roxbury,"201,000", -   , -   , -   , -   ,"20,000","181,000", -   , -   , -   , -   , -   , -   ,"201,000"
