,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget,total
89,Fire Department,Fire Equipment FY24-FY27,Purchase new fire apparatus for FY24-FY27 as scheduled in the Apparatus Replacement Plan. ,Fire Department,Annual Program,Citywide,4550000,0,2750000,0,0,0,0,0,0,7300000,0,0,0,0,0,7300000,21900000
90,Boston Public Schools,Window Repair and Replacement,Replace or make significant repairs to windows at various schools to increase ventilation.,Boston Public Schools,Complete,Citywide,5111005,0,2111005,0,0,0,0,0,500000,6722010,0,0,0,0,0,7222010,21666030
91,Police Department,Headquarters Roof and Elevator Replacement,Replace roof and elevators.,Public Facilities Department,In Construction,Roxbury,7200000,0,0,0,0,0,62988,187012,750000,6200000,0,0,0,0,0,7200000,21600000
92,Boston Public Schools,School Yard Improvements,"Design and construct school yard improvements including new play structures, safety surfacing, and landscaping.",Public Facilities Department,Annual Program,Various neighborhoods,4774650,0,2400000,0,0,0,1243025,300000,300000,5331625,0,0,0,0,0,7174650,21523950
93,Transportation Department,Boylston Street,"Redesign and reconstruct Boylston Street from Ipswich Street south to Park Drive and the Muddy River Crossing. Build protected bike lanes, a mid-block crossing, upgraded signals, replacement lighting and new sidewalks in certain locations.",Transportation Department,In Design,Back Bay,0,0,0,1376299,0,0,0,0,0,0,558009,212735,400000,205555,8500000,9876299,21128897
94,Public Works Department,Cambridge Street Bridge,"Rehabilitate bridge, performing repairs as needed.",Public Works Department,To Be Scheduled,Charlestown,0,4250000,0,750000,0,2000000,0,0,500000,3750000,0,0,750000,2000000,0,7000000,21000000
95,Public Health Commission,Woods Mullen Shelter,"Replace elevator and relocate entryway to improve accessibility, security, and efficiency. Renovate bathrooms, showers, and increase bed space.",Public Facilities Department,In Construction,South End,6217000,0,0,550000,0,0,627003,900000,2750000,1939997,0,0,350000,200000,0,6767000,20301000
96,Parks and Recreation Department,Artificial Turf Replacement,Annual program to replace artificial turf fields. High priority projects include Charlestown High School and multi-purpose fields at East Boston Memorial Park.,Parks and Recreation Department,Implementation Underway,Citywide,4000000,2500000,0,0,0,0,2053296,946704,2500000,1000000,0,0,0,0,250000,6750000,20000000
97,Mayor's Office of Housing,Orient Heights Senior Center,Convert the former Orient Heights Branch Library into a new senior center.,Public Facilities Department,In Construction,East Boston,6500000,0,0,0,0,0,2457258,3008742,667000,367000,0,0,0,0,0,6500000,19500000
98,Public Works Department,Ruggles Street,"Design and build a context sensitive Ruggles Street, between Washington Street and Ruggles MBTA Station, adhering to Complete Street guidelines.",Public Works Department,In Construction,Roxbury,0,0,0,5000000,0,1500000,0,0,0,0,0,1500000,200000,4800000,0,6500000,19500000
99,Transportation Department,Safe and Reliable Streets,"Support anti-congestion efforts Citywide through data collection, safety and public realm improvements. Includes staff support to augment operational needs. Funded by state TNC revenue.",Transportation Department,Annual Program,Various neighborhoods,0,0,0,6023207,350000,0,0,0,0,0,1602566,1490608,2000000,1280033,0,6373207,19119621
100,Fire Department,Fire Headquarters,"Building renovations at the Boston Fire Department Headquarters including a new roof, and the installation of sprinklers and an updated fire alarm system. Accessibility improvements are also planned.",Public Facilities Department,In Design,Roxbury,1290000,4905000,0,0,0,0,44302,500000,500000,5150698,0,0,0,0,0,6195000,18585000
101,Public Works Department,Footpath and Stairways ,Conduct assessment of footpaths and stairways throughout the City followed by reconstruction.,Public Works Department,Annual Program,Various neighborhoods,500000,5530000,0,0,0,0,0,30000,6000000,0,0,0,0,0,0,6030000,18090000
102,Boston Public Schools,Madison Park TVHS Electrical Improvements,Electrical upgrades at Madison Park Technical Vocational High School.,Public Facilities Department,In Construction,Roxbury,6000000,0,0,0,0,0,185579,1714421,4100000,0,0,0,0,0,0,6000000,18000000
103,Public Works Department,Walkable Streets,"Sidewalk improvement program designed to target key neighborhood streets and corridors by reconstructing longer, contiguous sidewalk sections.",Public Works Department,Annual Program,Various Neighborhoods,2355000,3405000,0,0,0,0,0,0,3500000,2260000,0,0,0,0,0,5760000,17280000
104,Public Health Commission,Miranda-Creamer / SEFC Repairs,Roof replacement at the Miranda-Creamer and South End Fitness Center buildings. Window and masonry repairs to the interconnecting walkway. Electrical and HVAC upgrades.,Public Facilities Department,In Construction,South End,5600000,0,0,0,0,0,148035,1101965,4350000,0,0,0,0,0,0,5600000,16800000
105,Boston Public Schools,Electrical Upgrades at 2 Schools,Upgrade electrical equipment at the Dever and McCormack schools to align with transformer replacements in Columbia Point.,Public Facilities Department,To Be Scheduled,Dorchester,5530518,0,0,0,0,60000,0,0,500000,5030518,0,0,60000,0,0,5590518,16771554
106,Transportation Department,Bike Share Network Expansion,"Expand city's bike share network to connect neighborhoods that are further from frequent, reliable rail transit and support strong demand in employment centers and commercial hubs.",Transportation Department,In Construction,Various neighborhoods,750000,0,0,4750000,0,0,0,750000,0,0,2160181,198067,1000000,1391752,0,5500000,16500000
107,Parks and Recreation Department,Smith Playground Phase 2,Additional park improvements including the ball field area based on the master plan.,Parks and Recreation Department,In Construction,Allston/Brighton,5480000,0,0,0,0,0,522883,3077117,1530000,350000,0,0,0,0,0,5480000,16440000
108,Parks and Recreation Department,Millennium Park,"Design and construction of play lot improvements, pathway repaving, and installation of modular bathroom facilities.",Parks and Recreation Department,In Design,West Roxbury,4075000,1200000,0,0,0,0,55000,100000,3500000,1620000,0,0,0,0,0,5275000,15825000
109,Boston Public Schools,Irving School Reconfiguration,Upgrade building facilities at the Irving School to facilitate grade reconfiguration.,Public Facilities Department,In Design,Roslindale,5200000,0,0,0,0,0,0,0,2200000,3000000,0,0,0,0,0,5200000,15600000
110,Parks and Recreation Department,Animal Shelter,Develop a building program and assess siting options.,Public Facilities Department,Study Underway,Roxbury,100000,5000000,0,0,0,0,48850,11150,1500000,3540000,0,0,0,0,0,5100000,15300000
111,Mayor's Office of Housing,Housing Infrastructure Fund,Investment in infrastructure to support affordable housing development.,Mayor's Office of Housing,To Be Scheduled,Various neighborhoods,5000000,0,0,0,0,0,56904,0,200000,4743096,0,0,0,0,0,5000000,15000000
