license_num,historicallicensenum,status,license_category,license_type,issued,expires,business_name,dba_name,comments,location_comments,opening,closing,patronsout,capacity,applicant,manager,day_phone,evening_phone,address,city,state,zip,gpsx,gpsy
LB-485386,,Active,Misc,Retail Malt Wine,,,Dorchester Market LLC,Dorchester Market,,"Accessory retail sales of wine & malt beverages (for off-premise consumption) in one room located inside a small, new neighborhood grocery market of approximately 2,800SF. 1 floor in a 5 story building. ",,11:00 PM,,0.00, Dorchester Market LLC, Peter McGee,(617)238-7406,,951-  Dorchester AV,Dorchester,MA,02125,775975.718315972,2941310.07595486
LB-481806,,Active,CV,Common Victualler,2022-10-13,2022-12-31,"Food's Style USA, Inc.",Hokkaido Ramen Santouka,,"Ground floor (serving area, kitchen), Basement for storage.",11:00 AM,11:00 PM,11:30 PM,32.00," Food's Style USA, Inc.",Tatsunori Tanaka,(206)889-2069,,169-  Brighton AVE,Allston,MA,02134,755551.338475376,2953982.448075
LB-492447,,Active,CV,Common Victualler,2022-10-03,2022-12-31,Tori EB Food Inc.,Tori Japan,,"Ground level, front service kitchen, no storage. Prep kitchen is behind front service counter. One bathroom for customer.",11:00 AM,10:00 PM,10:30 PM,12.00, Tori EB Food Inc.,Min Zhu,(781)609-8753,,62-  William C Kelly SQ,East Boston,MA,02128,780480.291321101,2961767.60013946
LB-481088,,Active,CV,CV7ALN - Neighborhood Restricted,2022-09-29,2022-12-31,Yak Thai Inc.,Thonglor,,"1,000SF: in one room on first floor (seating for 32), kitchen in rear, storage in basement.",,11:00 PM,11:30 PM,32.00, Yak Thai Inc., Piyapong Wongla,(781)472-0835,,559-  Washington ST,Brighton,MA,02135,747073.290888116,2952561.78378218
LB-423922,,Active,CV,Common Victualler,2022-09-28,2022-12-31,"PNR, LLC",PICK N' ROLL SUSHI,Hours Operation Monday Saturday 11 00 AM 8 PM,"Kitchen and dining upstairs, storage area in basement.",11:00 AM,8:00 PM,8:30 PM,28.00," PNR, LLC",Victor Choi,(617)251-5829,,134-  Boylston ST,Boston,MA,02116,773444.04642804,2953698.08381873
LB-469103,,Active,CV,Common Victualler,2022-09-27,2022-12-31,"Airist Boston Co, Inc.",Airist Boston,,"Lounge seating for airline passengers, kitchen is open to the floor Terminal E - Logan Airport - Level 2. There is one bar on premise, alcohol will be stored within a locked cabinet in the storage room.",10:00 AM,10:00 PM,10:30 PM,80.00,"Airist Boston Airist Boston Co, Inc.",Oh Kwan Kwon,,,500     Logan Airport Terminal E  ,East Boston,MA,02128,0,0
LB-476655,,Active,CV,CV7ALN - Neighborhood Restricted,2022-09-26,2022-12-31,HOMESTEAD BAKERY & CAFE LLC,,,"homestead bakery & cafe LLC is located on the ground floor of approximately 1,000SF. There is a handicap-accessible bathroom, an open kitchen, and a dining area with 31 seats. There is additional storage space in the basement not accessible to the patrons. ",,10:00 PM,10:30 PM,0.00, homestead bakery & cafe LLC, Annie Le,(617)858-0468,,1448-  Dorchester AVE,Dorchester,MA,02122,775264.770141736,2935070.64136939
LB-492840,,Active,CV,Common Victualler,2022-09-20,2022-12-31,"COMPASS GROUP USA, INC.",CHARTWELLS - SUFFOLK UNIVERSITY,,"First floor service with coffee bar and cold food display, basement has a full kitchen for production and prep. Seasonal outdoor patio from April - September for 48. Hours of operation on patio: Monday - Friday: 8:00 AM - 8:00 PM; Saturday - Sunday: 10:00 AM - 8:00 PM.",7:30 AM,8:00 PM,8:30 PM,72.00," Compass Group USA, Inc.",Robert Cirame,(617)223-4408,,1-  Court ST,Boston,MA,02108,775645.097854093,2956165.63582103
LB-491679,,Active,CV,Common Victualler,2022-09-19,2022-12-31,"L.A. Donuts, Inc.",Dunkin,,"First floor contains 5 rooms: 1 main sales area, 2. utility closet, 3. 2 offices, 4. rear storage. The new Dunkin will take up half of the sales area with a demising wall separating the kitchen area and storage. Additional storage in basement.",4:00 AM,9:00 PM,9:30 PM,0.00," L.A. Donuts, Inc.",Alexander DiPietro,(781)251-0443,,1912-   Beacon ST,Brighton,MA,02135,751108.000007242,2947890.00000532
LB-468655,,Active,CV,Common Victualler,2022-09-15,2022-12-31,"Nascence, Inc.",Happy Lemon,,"In four (4)  rooms on the first floor, dining/ordering area, kitchen, storage in rear and are separated from the front area by a counter and door. Bathroom is located in the far left corner.",11:00 AM,9:30 PM,10:00 PM,16.00," Nascence, Inc.",Xiqiao (Jason) Liu,(857)317-4715,,3193-3201  Washington ST,Jamaica Plain,MA,02130,763956.343860469,2939276.78557544
LB-445763,,Active,Misc,Retail Malt Wine,2022-08-30,2022-12-31,Grove Hall Foods Corp.,Grove Hall Convenience Market II,,,,11:00 PM,,0.00, Grove Hall Foods Corp., Edward Guerrero,(617)708-0775,,292-   Talbot AVE,Boston,MA,02124,771330.81762531,2931369.99003151
LB-470762,,Active,CV,Common Victualler,2022-08-26,2022-12-31,"Biturro Boys, Inc.",Bubbakoo's Burritos,,"One floor 1,400 Sq Ft.  Upon entry; assembly -line kitchen with seating. Back area; prep tables, sinks, storage racks, and refrigeration unit.",11:00 AM,9:00 PM,9:30 PM,22.00," Burrito Boys, Inc.",Christopher D'Andrea,(845)494-2266,,89-  Brighton AVE,Allston,MA,02134,756282.589864656,2953860.40352567
LB-490691,,Active,CV,Common Victualler,2022-08-25,2022-12-31,Chokdee Rumruai Munkong Inc.,Thai Oishi,,One room first floor with kitchen and basement storage.,11:30 AM,10:00 PM,10:30 PM,46.00, Chokdee Rumruai Munkong Inc.,Purichaya Tawinno,(617)282-2878,,203-   Adams ST,Dorchester,MA,02122,775138.999997616,2935339.99999364
LB-469486,,Active,Misc,Retail Malt Wine,2022-08-24,2022-12-31,Rupal Corporation,J&J Discount Mini Mart,No singles,"Premise is located at 131 West Broadway South Boston- Retail Store on 1st Floor consisting of approximately 1,400SF of land , storage located in the basement and has three arrears of egress. ",,9:00 PM,,0.00, Rupal Corporation, Michael David Gannon,(617)268-0455,,131- W Broadway ,South Boston,MA,02127,776652.999999031,2949530.00000685
