Main Entity Name,Trade Name DBA,Facility Address,Facility Neighborhood,Facility Zip Code,Type of Marijuana License,Application Status,Seeking Bos Equity Program,Submitted Date,Map Location,Main Contact Full Name,First Contact Full Name,Second Contact Full Name,Third Contact Full Name
"1220 WASHINGTON ST., INC.",The Boston Garden Dispensary,1220 Washington Street,SouthEnd,02118,Recreational retail cannabis dispensary,Under review,Yes,,,Adenike John,,,
"684 Center Street, JP, LLC",Prolific Cannabis,"684 Centre Street
Jamaica Plain, MA 02130",JamaicaPlain,02130,Recreational retail cannabis dispensary,Conditionally approved,Yes,,No,Eric Lawrence,,,
"Apothca, Inc. f/k/a Massachusetts Patient Foundation, Inc.","Apothca, Inc.",54a Hyde Park Ave,JamaicaPlain,02130,Co-located recreational and medical cannabis dispensary,Open for operation,No,,Yes,Joseph Lekach,Joseph Lekach,,
Baba Ku llc,Baba Ku,"90 canal street 4th floor 
Boston mass 02114
is our current mailing address however we hope to establish a location and coordinate that process with the proper authorities in the city. We were hoping the city could take part in the process of finding a location suitable for the city of Boston and its citizens.",Boston,02114,,Withdrawn,Yes,,No,Russell Rounbehler Jr.,Russell Rounbehler Jr.,,
Bay State Herbal Solutions,NA,"464 Hanover Street, Unit A",NorthEnd,02113,Recreational retail cannabis dispensary;Delivery (wholesale),Complete equity pending hearing,Yes,,,Liam Bennett,,,
"Baystate Herbal solutions, Inc.",Baystate Herbal Solutions,178-180 Harvard Ave.,Boston,02134,Recreational retail cannabis dispensary;Delivery (wholesale),Withdrawn,Yes,,Yes,Liam Bennett/ 978-852-6074,,,
Baystate Herbal Solutions Inc.,Baystate Herbal Solutions Inc.,"89 Strathmore Road, 25",Brighton,02135,Recreational retail cannabis dispensary;Delivery (wholesale),Withdrawn,Yes,,,Liam Bennett,,,
"Beacon Compassion, Inc",Beacon Compassion,1524 VFW Parkway,WestRoxbury,02132,Co-located recreational and medical cannabis dispensary,Conditionally approved,No,,Yes,Stephen Angelo,Stephen Angelo,Catherine (Rina) Cametti,
"Beacon Compassion, Inc.",HiFive,1524 VFW Parkway,WestRoxbury,02132,Recreational retail cannabis dispensary;Co-located recreational and medical cannabis dispensary,Conditionally approved,No,,Yes,Chad Wise,,,
"Beantown Buds, Inc.",Beantown Buds,"28 Beach Street, Boston MA 02111",ChinatownLeatherDistrict,02111,Recreational retail cannabis dispensary,Under review,Yes,,,Chung H. Lee,,,
Berkshire Roots Inc.,Berkshire Roots Inc.,251-253 Meridian Street,EastBoston,02128,Medical cannabis dispensary;Co-located recreational and medical cannabis dispensary,Approved,No,,Yes,James Winokur,,,
Boston One Nubian-Bury Delivery,Boston One Nubian-Bury Delivery,255-257 Quincy Street,Boston,02121,Delivery (wholesale),Inactive,Yes,,No,Duane Edward Osborn,,,
BOSTON ONE NUBIAN-BURY DELIVERY,BOSTON ONE NUBIAN-BURY DELIVERY,60 Dudley street,Roxbury,02119,,Withdrawn,Yes,,No,Duane Osborn,Duane E Osborn,,
Boston Recreational Cannabis LLC,Boston Recreational Cannabis LLC,150 Southampton St Boston MA,SouthBoston,02118,Delivery (wholesale);Cultivation,Inactive,Yes,,No,John Bradshaw,,,
Boston Urban Dispensary LLC,Boston Urban Dispensary LLC,"1114-1118 Blue Hill Ave
Dorchester Ma 02124",Mattapan,02124,Recreational retail cannabis dispensary,Deferred,Yes,,No,Edwin Alicea,Edwin Alicea,Ivan  Montes ,
Build A Life Legacy,Flower Xpress,"31 Standard St
Apt 3",Mattapan,02126,,Inactive,Yes,,No,Marquis Craig Cohen,Marquis Craig Cohen,DRUDYS LEDBETTER,
Build A Life Legacy LLC,The POT,1187 Blue Hill Avenue,Mattapan,02126,Recreational retail cannabis dispensary,Withdrawn,Yes,,Yes,Marquis  Cohen,,,
Build A Life Legacy LLC,The POT,536-538 River Street,Mattapan,02126,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Marquis Cohen,,,
Cannabis Healing LLC,Cannabis Healing,"4 Neptune Rd, East Boston, MA 02128",EastBoston,02128,Recreational retail cannabis dispensary,Conditionally approved,No,,No,Brian Jones,Brian Jones II,Wanda Pettigrew Jones ,JW Asset + Webber Fund 
"CastleLeaf, LLC","CastleLeaf, LLC","100 Leo M. Birmingham Parkway
Brighton, MA 02135",Brighton,02135,Recreational retail cannabis dispensary;Product Manufacturing,Approved,No,,No,Jennifer K. Crawford,Michael Giannone,Michael Dennis McDade,John Gulezian
Cloudfarming LLC,Corner Stalk Farm,50 Condor St,EastBoston,02128,Cultivation,Approved,No,,Yes,Shawn Cooney,Shawn Cooney,Constance Cooney,
CNA Stores Inc.,CNA Stores Inc.,70 Von Hillern Street,Dorchester,02125,Recreational retail cannabis dispensary,Conditionally approved,No,,No,Robert DiFazio,,,
"Community Growth Partners Delivery, Inc.",Rebelle,"Unit 1
102-106 South Street
Boston, MA 02111",ChinatownLeatherDistrict,02111,Recreational retail cannabis dispensary;Delivery (wholesale),Withdrawn,Yes,,,Penelope Nam-Stephen,,,
d,d,d,BackBay,d,Delivery (courier);Delivery (wholesale);Product Manufacturing,Withdrawn,No,,,d,,,
"DCC, Inc.","DCC, Inc.",1953 Dorchester Ave. ground floor,Dorchester,02124,Recreational retail cannabis dispensary,Complete equity pending hearing,Yes,,,Dexter G. Miller,,,
Ember Gardens Boston LLC,Ember Gardens,297 Newbury Street 1st Floor,BackBay,02115,Recreational retail cannabis dispensary,Conditionally approved,Yes,,No,Shane Hyde,Shane Hyde,Joseph Hoffman ,George Friedlander 
"EnRoot, LLC",EnRoot,415 Blue Hill Avenue,Dorchester,02121,Delivery (courier);Delivery (wholesale),Approved,Yes,,Yes,Brian Keith,,,
Erba C3 Dorchester LLC,N/A,"43 Freeport Suite
First Floor",Dorchester,02122,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Ankur Rungta,See table,,
Finest Drinks and Edibles Company,Finest,"56 Evelyn St 
Apt 3",Mattapan,02126,,Withdrawn,Yes,,No,Dara Toney,Dara Toney,,
"Gi's Complex, LLC",Gi's Deliveries,"9 Livingstone Street
Dorchester, MA 02124",Dorchester,02124,Delivery (courier),Inactive,No,,No,John Gioiosa,John Gioiosa,,
"Gi's Deliveries,LLC",Gi's Deliveries,"17 Livingstone Street
Boston, MA 02124",Dorchester,02124,Delivery (courier);Delivery (wholesale),Inactive,No,,,John Gioiosa,,,
Green Rain LLC,Green Rin Delivery,"Office 452
90 Canal St
4th Floor
Boston MA
02114",WestEnd,02114,Delivery (courier),Under review,No,,,Sean McLaughlin,,,
Green Stratus Corp,Green Stratus Corp,558-560 Dorchester Avenue,SouthBoston,02127,Recreational retail cannabis dispensary,Rejected without prejudice,No,,No,Kinjal Patel,Kinjal Patel,,
Haze of Boston,Haze of Boston,313 Old Colony av,SouthBoston,02127,Recreational retail cannabis dispensary,Inactive,Yes,,No,Colonel Boothe,,,
"Haze of South Boston, LLC",Simplicity Dispensary,313 Old Colony av,SouthBoston,02127,Recreational retail cannabis dispensary,Rejected with prejudice,Yes,,,Colonel Boothe,,,
Herbal Power LLC,Budega,329 Columbus Ave,SouthEnd,02116,Recreational retail cannabis dispensary,Complete equity pending hearing,Yes,,,Desire Franjul,,,
High Street Cannabis Group LLC,High Street Cannabis Group LLC,"200 High Street, Boston, MA 02110",Boston,02110,Recreational retail cannabis dispensary,Conditionally approved,Yes,,Yes,Rebecca Rutenberg,,,
Hyde Park Dispensary,Dispensary,"1589 Blue Hill Ave 
Mattapan Ma 02126",Mattapan,02126,Recreational retail cannabis dispensary,Rejected without prejudice,No,,No,Eric James,,,
"Hyde Park Dispensary, LLC",Mattapan Dispensary,1589 Blue Hill Avenue,HydePark,02126,Recreational retail cannabis dispensary,Under review,No,,,Charles Reid,,,
I & I Rose Garden,I & I Rose Garden,"22 Birch Street, Roslindale MA",Roslindale,02131,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Kijana Rose,Kijana Rose,Michaela Duffy,
I & I Rose Garden LLC,I & I Rose Garden,22 Birch Street,Roslindale,02131,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Kijana R Rose,Kijana R Rose,Ryan Casale,Michaela Duffy
"Injaga Delivery LLC,",TBD,1455-1457 VFW Parkway,WestRoxbury,02132,Delivery (courier);Delivery (wholesale);Product Manufacturing,Under review,No,,,Sandy Heierbacher,,,
Jenny's Boston,Jenny's Boston,300 Northern Avenue,Boston,02110,Recreational retail cannabis dispensary,Under review,Yes,,No,David Rosen,,,
"JTJD, LLC",Ember Gardens,610 Chelsea Street,EastBoston,02128,Delivery (wholesale),Under review,Yes,,,Joseph Lavoie,,,
KG Collective LLC,KG Collective,"1589 Columbus Avenue
Boston, MA 02119",Roxbury,02119,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Michael Pires,Michael Pires,Marcus Johnson Smith,
"Legally Great Academy, LLC",EVOLucien Cannabis,1195 Blue Hill Ave,Mattapan,02126,Delivery (wholesale);Product Manufacturing,Complete equity pending hearing,Yes,,,Laury Lucien,,,
Lifty LLC,Lifty,"225 Southampton St. Boston, Ma 02118",Roxbury,02118,Delivery (wholesale),Approved,Yes,,Yes,Duane Edward Osborn,,,
LIFTY LLC,LIFTY,225 Southampton Street,Roxbury,02118,Delivery (wholesale),Inactive,Yes,,No,Duane Edward Osborn,,,
"Lowkey Cultivation, LLC",Lowkey Cultivation,54 Walter Street,HydePark,02136,Cultivation,Conditionally approved,No,,Yes,Jeff Similien,,,
Lowkey LLC,Low Key Dispensary,1509 Blue Hill Ave Boston MA 02126,Mattapan,02126,,Conditionally approved,,,No,Jeff Similien,Robert Nichols,,
Lowkey LLC,Lowkey Dispensary,35 Kingston St,Boston,02111,Recreational retail cannabis dispensary,Withdrawn,No,,,Jeff Similien,,,
Lowkey LLC,Lowkey Dispensary,5270 Washington Street,WestRoxbury,02132,Recreational retail cannabis dispensary,Inactive,No,,No,Jeff Similien,,,
Lowkey LLC,Lowkey Dispensary,5252 - 5270 Washington St,WestRoxbury,02132,Recreational retail cannabis dispensary,Conditionally approved,No,,Yes,Jeff Similien,,,
Mass Greenwoods LLC,TBD,116 Harvard Ave,Allston,02134,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Eric Lawrence,,,
Mattapan Dispensary LLC,Mattapan Dispensary LLC,1589 Blue Hill Avenue,Boston,02126,Recreational retail cannabis dispensary,Under review,Yes,,,"Charles Reid III, Esq.",,,
MJ2HOME LLC,MJ2HOME LLC,162 HAMILTON STREET,Boston,02122,Delivery (wholesale),Under review,Yes,,,Jean-Luc De Barros,,,
"Natural Oasis , LLC","Natural Oasis, LLC",345A-359 Washington Street,Brighton,02135,Recreational retail cannabis dispensary,Rejected with prejudice,No,,No,John R Jenkins,john r jenkins,Eddie Jenkins,Scott Baker
"North East Gro, LLC","North East Gro, LLC",888 Morton Street,Mattapan,02126,Delivery (courier);Delivery (wholesale);Product Manufacturing,Inactive,Yes,,No,Omar Jeovanni Lawrence,,,
"NS AJO Holdings, Inc.",Ethos Cannabis,50 Clapp Street,Dorchester,02125,Recreational retail cannabis dispensary,Open for operation,No,,Yes,Alex Hardy,,,
"NS AJO Holdings, Inc.",Ethos Cannabis,50 Clapp Street,Dorchester,02125,,Open for operation,No,,Yes,Alex Hardy,Alex Hardy,,
Oasis of Tranquility,Oasis of Tranquility,7 Edgewater drive,Mattapan,02126,Recreational retail cannabis dispensary;Delivery (wholesale);Product Manufacturing,Inactive,Yes,,No,Geneise Israel,,,
"OPCO Allston, LLC","OPCO Allston, LLC",144 Harvard Avenue,Allston,02134,Recreational retail cannabis dispensary,Deferred,Yes,,No,Becca Rutenberg,,,
Pure Oasis LLC,Pure Oasis,85 Devonshire Street,Boston,02109,Recreational retail cannabis dispensary,Conditionally approved,No,,Yes,Kobie Evans,Kobie Evans,Kevin Hart,
Pure Oasis LLC,Pure Oasis,535 Washington St,Brighton,02135,Recreational retail cannabis dispensary,Rejected without prejudice,Yes,,No,Kobie Evans,Kobie Evans,Kevin Hart,
"Pure Oasis, LLC",Pure Oasis,535 Washington Street,Brighton,02135,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Kobie Evans,,,
"Pure Oasis, LLC",Pure Oasis,"430 Blue Hill Avenue
Boston, Ma 02121",Dorchester,02121,Delivery (courier);Delivery (wholesale),Conditionally approved,Yes,,Yes,Kevin Hart,,,
R2 Resilient Remedies LLC,R2 Resilient Remedies LLC,31 Cambridge Street,Charlestown,02129,Recreational retail cannabis dispensary,Approved,Yes,,Yes,"John F. Kelly, III","John F. Kelly, III",,
Rasta Rootz LLC,Rasta Rootz,21 Broad St,Boston,02109,Recreational retail cannabis dispensary,Approved,No,,Yes,Fernando Bent-Mullings,Fernando Bent-Mullings ,Hilary Bent-Mullings ,
Redemption Co.,Redemption Quincy Market,"1 Faneuil Hall Square
Faneuil Hall Marketplace
Boston, MA 02109",Boston,02109,Recreational retail cannabis dispensary,Withdrawn,No,,No,Geoffrey reilinger,Alfreda Harris,Dr Elizabeth Figueredo Gonsalves Reilinger,Geoffrey Reilinger
"Redemption, LLC",Redemption Boston,29 Stanhope St,BackBay,02116,Recreational retail cannabis dispensary,Under review,No,,No,Geoffrey Reilinger,Geoffrey Reilinger,Dr. Elizabeth Gonsalves Reilinger,"William Luzier, Esq."
Rooted In LLC,Rooted in Roxbury,331 Newbury St,BackBay,02115,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Brian Keith,Brian Keith,Joanne Keith,Solmon Chowdhury
Rooted In LLC,Rooted in Roxbury,13 - 15 West Street,Boston,02111,Recreational retail cannabis dispensary,Rejected with prejudice,Yes,,No,Brian Keith,Brian Keith,Joanne Keith,Solmon Chowdhury
"Rooted In, LLC",Rooted in Roxbury,2177 Washington St,Roxbury,02119,,Conditionally approved,Yes,,No,Brian Keith,Brian Keith,Joanne Keith,Solmon Chowdhury
SAWF Estate LLC,To be determined,879 Blue Hill Avenue,Dorchester,02124,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Shayne Cranmore,Shayne Cranmore,,
Scholange Smith,Budda Woman,"1945 Columbus Ave Boston, MA 02119",Roxbury,02119,Co-located recreational and medical cannabis dispensary;Delivery (courier);Delivery (wholesale);Product Manufacturing,Under review,Yes,,,Scholange Smith,,,
SEED5 LLC,SEED5,"780-780A Blue Hill Avenue Boston, MA 02124",Dorchester,02124,Delivery (courier);Delivery (wholesale),Withdrawn,Yes,,,Joe'l Gonzalez,,,
"Seven Peaks Boston Retail, LLC",Seven Peaks,54 Winter Street,Boston,02108,Recreational retail cannabis dispensary,Complete equity pending hearing,Yes,,,"Dennis A. Quilty, Esq.",,,
Stone's Throw Cannabis LLC,Elev8,"727 Atlantic Avenue, 1st and 2nd Floors, Boston, MA",ChinatownLeatherDistrict,02111,Recreational retail cannabis dispensary;Delivery (courier),Approved,Yes,,No,Blake M. Mensing,,,
"Sugarloaf Boston Cannabis, LLC","Sugarloaf Boston Cannabis, LLC",1174 River Street,HydePark,02136,Recreational retail cannabis dispensary,Inactive,Yes,,No,Flavia Hungaro,Flavia Hungaro,Lucas Currier,Irene Hicks
Sweet and Sour LLC,Sweet and Sour LLC,"565 Columbus Ave #3c Boston, MA 02118",SouthEnd,02118,Co-located recreational and medical cannabis dispensary,Rejected with prejudice,Yes,,,Gabriel Vieira,,,
"Team Green, LLC",TBD,1441 Tremont Street,MissionHill,02120,Recreational retail cannabis dispensary,Conditionally approved,Yes,,No,Vrinda Jody Mendoza Pekala,Vrinda Jody Mendoza Pekala,Richard Amadis Pena,
The Cannabis Station,TCS The Cannabis Station,2363 Washington Street,Roxbury,02119,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Carlos Castillo,Carlos Castillo,Jody Mendoza,
"The Copley Connection, Inc.",The Copley Connection,551 Boylston St.,BackBay,02116,Recreational retail cannabis dispensary,Under review,No,,,Josh Zakim,,,
The Heritage Club II LLC,The Heritage Club,76 South Street,ChinatownLeatherDistrict,02111,Recreational retail cannabis dispensary;Product Manufacturing,Under review,Yes,,,Adenike John,,,
The Heritage Club LLC,The Heritage Club,116 Cambridge Street,Charlestown,02129,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Adenike (Nike) John,Adenike (Nike) John,Margaret Suprey,
The Heritage Club LLC,The Heritage Club LLC,116 Cambridge St,Charlestown,02129,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Adenike (Nike) John,Adenike (Nike) John,Margaret Suprey,
The Kif Room Inc,The Kif Room,330 -338 Belgrade Avenue,Roslindale,02131,Recreational retail cannabis dispensary;Delivery (wholesale),Withdrawn,Yes,,,Akinyi Otieno,,,
"Underground Legacy Social Club, LLC.","Underground Legacy, LLC.",1379 - 1385 Blue Hill Avenue,Mattapan,02126,Recreational retail cannabis dispensary,Complete equity pending hearing,Yes,,,Isaac Hampton,,,
Verdant Reparative Inc.,Verdant Reparative,139 Freeport St,Dorchester,02122,,Inactive,Yes,,No,Tito Jackson,Tito Jackson,,
"Verdant Reparative, Inc.",Apex Noire,150 State Street,Boston,02109,Recreational retail cannabis dispensary;Product Manufacturing,Approved,Yes,,Yes,Tito Jackson,Tito Jackson,,
"Verdant Reparative, Inc.",Verdant,139 Freeport Street,Dorchester,02121,Delivery (wholesale),Withdrawn,Yes,,No,Tito Jackson,,,
"Vinyl Roots, Inc.",Soul Strain,"340 N Market
St, Boston, MA",Boston,02109,Recreational retail cannabis dispensary,Deferred,Yes,,,Josh Zakim,,,
Xhale New England Dispensary,Xhale New England Dispensary,888 Morton St,Mattapan,02126,Recreational retail cannabis dispensary,Approved,Yes,,Yes,Anthony Perkins,Anthony Perkins,Sharon Perkins-Allen,Omar Lawrence
Zip Run,Zip Run,1170 William T Morrissey Blvd,Dorchester,02122,Delivery (wholesale),Approved,Yes,,No,Gabriel Vieira,Gabriel Vieira,Christian Nicholson,Elis Omoroghomwan
Zip Run,Zip Run,160 Orlando Street,Mattapan,02126,,Withdrawn,Yes,,No,Gabriel Vieira,Gabriel Vieira,,
"Zip Run, inc.",Zip Run,"1170 Morrissey Blvd, Dorchester, MA 02122",Dorchester,02122,Transporter,Withdrawn,Yes,,,Gabriel Vieira,,,
"Zip Run, Inc.","Zip Run, Inc.","1170 Morrissey Blvd, Dorchester, MA 02122",Dorchester,02122,,Approved,Yes,,Yes,Gabriel Vieira,Gabriel Vieira,Christian Nicholson,Elis Omoroghomwan
"617 Therapeutic Health Care, Inc..","",144 Bowdoin St,Dorchester,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC,No,10/10/2018,Yes,Matt McKenna,,,
"Apothca, Inc ","Massachusetts Patient Foundation, Inc.",54A Hyde Park Ave,Jamaica Plain,,Medical,Open for Operations,No,5/24/2018,Yes,Mike Ross,,,
