|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Cabinet                          | Dept                                           | Program                                  | Expense Category              | FY20 Actual Expense | FY21 Actual Expense | FY22 Appropriation | FY23 Adopted  |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | Mayor's Administration                   | Personnel Services            |           1,887,992 |           1,820,538 |          1,760,179 |     1,584,054 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | Mayor's Administration                   | Contractual Services          |             111,577 |             127,558 |             99,314 |        99,314 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | Mayor's Administration                   | Supplies & Materials          |              55,384 |              27,318 |             44,938 |        44,938 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | Mayor's Administration                   | Current Charges & Obligations |              12,782 |              11,366 |             29,630 |        29,630 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | Mayor's Administration                   | Equipment                     |              21,629 |              39,041 |             24,900 |        24,900 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | Mayor's Executive                        | Personnel Services            |             441,266 |             403,120 |            455,771 |       377,948 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | Mayor's Executive                        | Contractual Services          | #Missing            |                 -25 | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | Mayor's Policy & Planning                | Personnel Services            |           1,515,285 |           1,603,125 |          1,323,898 |     1,916,580 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | Mayor's Policy & Planning                | Contractual Services          |             133,467 |             207,821 |            389,079 |       389,079 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | New Urban Mechanics                      | Personnel Services            |             347,067 |             416,899 |            487,357 |       604,730 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | New Urban Mechanics                      | Contractual Services          |              34,367 |              16,083 |             28,800 |        28,800 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | New Urban Mechanics                      | Supplies & Materials          |               2,526 |               2,187 |              5,961 |         5,961 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | New Urban Mechanics                      | Current Charges & Obligations |                 721 |               5,857 |              6,400 |         6,400 |  |       |                                        |                                        |
