Applicant Street,Applicant Zip Code,Type of Award,Race and Ethnicity,Primary Language Spoken,Gender Identity,Do you have a mobile housing voucher?,Receive SNAP/EBT Benefits?,How many in household?,Total Monthly Income all sources,Are you currently employed?,Total Amount Awarded,Date Payment Issued,Disposition of case,"If ineligible, why?",longitude,latitude
 ,02128,Rental Arrears,White,Spanish,Female,,,4.0,9000,,4000.0,,Approved,,-71.0257,42.3642
 ,02114,Future Stipend,White,English,Female,No,Yes,1.0,1000,No,4755.0,,Approved,,-71.0682,42.3611
Channel St,02210,Rental Arrears,Latino,English,Male,,,1.0,2000,Unemployment application was denied,15000.0,,Approved,,-71.0465,42.3489
Ruggles St,02120,Rental Arrears,Black/African American,English,Female,No,Yes,4.0,1200,Yes,1454.0,9/30/2022,Approved,,-71.0912,42.3307
3rd  Avenue,02129,Future Stipend; Rental Arrears,Black/African American,English,Male,,,2.0,2052,Yes,7908.0,,Approved,,-71.0627,42.3778
A Street,02136,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,Yes,No,3.0,5601.07,Yes,7883.0,,Approved,,-71.1261,42.254
"A Street,",02210,Rental Arrears,White,English,Not reported,,,1.0,0,,3447.0,,Approved,,-71.0465,42.3489
Abbostford St,02121,Future Stipend; Rental Arrears,Latino,Spanish,Male,,,1.0,1200,Yes,10700.0,,Approved,,-71.0745,42.2973
Abbot St.,02124,Utility Payments,Black/African American,English,Female,Yes,Yes,1.0,794,No,2000.0,,Approved,,-71.0717,42.2918
Abbot St,02124,Rental Arrears,Latino,English,Not reported,,,2.0,4200,,4000.0,,Approved,,-71.0717,42.2918
Abbot St,02124,,Black/African American,English,Female,No,No,1.0,3200,,2700.0,,Approved,,-71.0717,42.2918
Abbotsford Street,02121,Future Stipend; Moving Costs; Rental Arrears,Latino,Spanish,Female,,,2.0,0,,15000.0,,Approved,,-71.0745,42.2973
Abbotsford Street,02121,Rental Arrears; Utility Payments,Black/African American,English,Female,,,5.0,2400,Yes,7054.0,,Approved,,-71.0745,42.2973
Ackley Place,02130,Future Stipend; Moving Costs; Rental Arrears,White,English,Female,No,No,1.0,40000,Yes,3200.0,,Approved,,-71.1115,42.3126
Adam St,02122,Rental Arrears,Asian,Vietnamese,Male,No,No,4.0,3600,,6000.0,,Approved,,-71.0745,42.2973
Adam's Street,02122,Future Stipend; Rental Arrears; Utility Payments,Black/African American;Pacific Islander,English,Female,Yes,Yes,1.0,0,No,2163.75,,Approved,,-71.0745,42.2973
Adam's St,02122,Rental Arrears; Utility Payments,White,English,Male,No,No,1.0,3200,Yes,16981.98,,Approved,,-71.0745,42.2973
Adams Street,02122,Rental Arrears; Utility Payments,Black/African American; White,English,Male,,,2.0,4024,Yes,9500.0,,Approved,,-71.0745,42.2973
Adams Street,02122,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,Yes,Yes,1.0,790,No,6321.8,,Approved,,-71.0745,42.2973
Adams street,02122,Future Stipend; Rental Arrears,Black/African American;Black,English,Female,No,Yes,1.0,0,No,3340.0,,Approved,,-71.0745,42.2973
Adams Street,02122,Future Stipend; Rental Arrears,Black/African American;Black,English,Female,No,No,1.0,0,No,3040.0,11/2/2021,Approved,,-71.0745,42.2973
Adams St,02122,Rental Arrears,Latino,English,Female,No,No,3.0,240,,6000.0,,Approved,,-71.0745,42.2973
Adams Street,02122,Future Stipend; Rental Arrears,Black/African American,English,Female,,,2.0,592,No,8264.0,,Approved,,-71.0745,42.2973
Adams Street,02122,Future Stipend; Rental Arrears,White,English,Male,No,Yes,1.0,257,No,9969.0,,Approved,,-71.0745,42.2973
Adams Street,02122,Future Stipend; Rental Arrears,White,English,Male,,,1.0,1654,No,12929.0,9/15/2021,Approved,,-71.0745,42.2973
Adams st,02122,Future Stipend; Rental Arrears,Black/African American,English,Female,Yes,Yes,2.0,600,No,5341.0,,Approved,,-71.0745,42.2973
Adams street,02122,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,No,2.0,2500,Yes,12509.9,,Approved,,-71.0745,42.2973
Adams St,02122,Future Stipend,White,English,Female,No,No,2.0,2936,Yes,5220.0,,Approved,,-71.0745,42.2973
Adams Street,02122,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,No,1.0,0,No,12760.29,,Approved,,-71.0745,42.2973
adams st,02124,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,2.0,2600,Yes,5758.23,2/18/2022,Approved,,-71.0717,42.2918
Adams street,02122,Future Stipend; Rental Arrears; Utility Payments,Black/African American;Multi-Racial,English,Female,No,No,1.0,800,Yes,9763.57,,Approved,,-71.0745,42.2973
Adams Street,02124,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,2.0,3232,No,10332.0,10/29/2021,Approved,,-71.0717,42.2918
Adams Street,02124,Future Stipend; Rental Arrears,Black/African American,English,Female,,,1.0,217273,,6672.0,,Approved,,-71.0717,42.2918
Adams St,02124,Moving Costs,Black/African American,English,Female,Yes,Yes,2.0,0,No,788.0,8/5/2022,Approved,,-71.0717,42.2918
Adams St,02124,Future Stipend; Utility Payments,Black/African American,English,Female,Yes,Yes,1.0,924,No,654.53,,Approved,,-71.0717,42.2918
Adams Street,02124,Future Stipend; Utility Payments,American Indian or Alaskan Native;Black,English,Female,No,Yes,4.0,0,No,4277.53,8/5/2022,Approved,,-71.0717,42.2918
Adams Street,02124,Future Stipend,American Indian or Alaskan Native;Black,English,Female,No,Yes,3.0,1524,No,4577.09,,Approved,,-71.0717,42.2918
Adams Street,02124,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,1967,No,5570.56,,Approved,,-71.0717,42.2918
Adams Street,02124,Future Stipend,Black/African American,English,Female,No,No,1.0,2838.04,Yes,7416.0,,Approved,,-71.0717,42.2918
Adams St,02124,Future Stipend; Rental Arrears; Utility Payments,Middle Eastern/West Asian or North African,English,Male,,,2.0,1276,Yes,14023.38,,Approved,,-71.0717,42.2918
Adamson St,02134,Future Stipend,Latino,Spanish,Female,No,No,3.0,2600,,5100.0,,Approved,,-71.1329,42.3535
addison st,02128,Future Stipend; Rental Arrears,Black/African American;Black,English,Female,No,No,2.0,4369,Yes,3120.0,,Approved,,-71.0257,42.3642
Addison St.,02128,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,2.0,4529.11,Yes,3849.65,,Approved,,-71.0257,42.3642
Addison Street,02128,Future Stipend; Rental Arrears,White,English,Male,No,No,1.0,6400,Yes,16772.0,,Approved,,-71.0257,42.3642
ADDRESS* 290,02119,Moving Costs,Black/African American,English,Female,No,No,1.0,2400,Yes,1600.0,,Approved,,-71.0953,42.3251
Adella Place,02134,Rental Arrears,Latino,Spanish,Female,No,No,4.0,600,,6000.0,,Approved,,-71.1329,42.3535
