,Application_Status,Facility_Address,Main_Entity_Name,Seeking_Bos_Equity_Program,Submitted_Date,Trade_Name_DBA,Type_of_Marijuana_License,x,y,SAM_ID,updated_timestamp,ObjectId,street,city,state,zip
0,Approved BCB - Executed HCA - Pending CCC,"144 Bowdoin St, Dorchester, MA","617 Therapeutic Health Care, Inc..",No,10/10/2018,,Adult use dispensary,42.3038486640959,-71.0711305920434,42227.0,2022/03/22 19:59:53.102+00,1,144 Bowdoin St,dorchester,MA,
1,Open for Operations,"54A Hyde Park Ave, Jamaica Plain, MA","Apothca, Inc ",No,5/24/2018,"Massachusetts Patient Foundation, Inc.",Medical,42.2985766206975,-71.114390400915,,2022/03/22 19:59:53.102+00,2,54A Hyde Park Ave,jamaicaplain,MA,
2,Open for operation,"54a Hyde Park Ave, JamaicaPlain, Massachusetts 02130","Apothca, Inc. f/k/a Massachusetts Patient Foundation, Inc.",No,,"Apothca, Inc.",Co-located recreational and medical cannabis dispensary,42.2985766206975,-71.114390400915,,2022/10/06 02:45:10.435+00,3,54a Hyde Park Ave,jamaicaplain,MA,02130
3,Open for Operations,"268-274 Friend St, West End, MA",Ascend Mass LLC,No,5/3/2018,,Adult use dispensary,42.364668674379,-71.0614305945262,154992.0,2022/03/22 19:59:53.102+00,4,268-274 Friend St,westend,MA,
4,Conditionally approved,"1524 VFW Parkway, WestRoxbury, Massachusetts 02132","Beacon Compassion, Inc",No,,Beacon Compassion,Co-located recreational and medical cannabis dispensary,42.2683097088496,-71.170382999469,140314.0,2022/10/06 02:45:10.435+00,5,1524 VFW Parkway,westroxbury,MA,02132
5,Conditionally approved,"1524 VFW Parkway, WestRoxbury,  02132","Beacon Compassion, Inc.",No,,HiFive,Recreational retail cannabis dispensary;Co-located recreational and medical cannabis dispensary,42.2683097088496,-71.170382999469,140314.0,2022/10/06 02:45:10.435+00,6,1524 VFW Parkway,westroxbury,MA,02132
6,Approved,"251-253 Meridian Street, EastBoston,  02128",Berkshire Roots Inc.,No,,Berkshire Roots Inc.,Medical cannabis dispensary;Co-located recreational and medical cannabis dispensary,42.3760886752336,-71.038890587705,94419.0,2022/10/06 02:45:10.435+00,7,251-253 Meridian Street,eastboston,MA,02128
7,Open for Operations,"251 Meridian St, East Boston, MA",Berkshire Roots Inc..,No,6/28/2018,,Adult use dispensary,42.3760886752336,-71.038890587705,239765.0,2022/03/22 19:59:53.102+00,8,251 Meridian St,eastboston,MA,
8,Withdrawn,"1187 Blue Hill Avenue, Mattapan,  02126",Build A Life Legacy LLC,Yes,,The POT,Recreational retail cannabis dispensary,42.2838186593662,-71.0919205958272,386315.0,2022/10/06 02:45:10.435+00,9,1187 Blue Hill Avenue,mattapan,MA,02126
9,Open for Operations,"401A Centre St, Jamaica Plain, MA",Core Empowerment LLC.,No,8/18/2018,SEED,Adult use dispensary,42.3217042859316,-71.1101525249787,,2022/03/22 19:59:53.102+00,10,401A Centre St,jamaicaplain,MA,
10,Approved BCB - Executed HCA - Pending CCC,"1114 Boylston St, Boston, MA","Cypress Tree Management, Inc.",No,7/25/2018,Redi ,Adult use dispensary,42.3467986697922,-71.0887105992273,45244.0,2022/03/22 19:59:53.102+00,11,1114 Boylston St,boston,MA,
11,Approved BCB - Executed HCA - Pending CCC,"204 North Beacon St, Brighton, MA",Debken Corporation,No,5/10/2018,,Adult use dispensary,42.3558136699873,-71.148674619807,28081.0,2022/03/22 19:59:53.102+00,12,204 North Beacon St,brighton,MA,
