Zip Code,Counts,Latitude,Longitude
2467,7,42.3167,-71.1605
2215,334,42.3483,-71.1072
2210,130,42.347,-71.041
2203,1,42.361,-71.0592
2201,3,42.3604,-71.0579
2199,27,42.3466,-71.0827
2163,7,42.366,-71.1214
2136,47,42.2546,-71.1253
2135,142,42.3486,-71.1548
2134,166,42.3589,-71.1292
2132,64,42.2784,-71.16
2131,77,42.2838,-71.125
2130,113,42.3079,-71.1127
2129,50,42.3792,-71.0644
2128,241,42.3719,-71.0151
2127,140,42.3359,-71.0421
2126,44,42.2765,-71.093
2125,91,42.3167,-71.0567
2124,86,42.2858,-71.0718
2122,73,42.2944,-71.0527
2121,30,42.3074,-71.0828
2120,46,42.3326,-71.0957
2119,74,42.324,-71.085
2118,139,42.3379,-71.0698
2116,265,42.3492,-71.0745
2115,213,42.341,-71.0941
2114,122,42.3622,-71.0664
2113,100,42.3643,-71.0575
2111,153,42.3507,-71.0592
2110,107,42.3565,-71.0544
2109,121,42.363,-71.054
2108,114,42.3563,-71.066
