,license_num,historicallicensenum,status,license_type,issued,expires,business_name,dba_name,comments,location_comments,opening,closing,patronsout,capacity,applicant,manager,day_phone,evening_phone,address,city,state,zip,fulladdress,Latitude,Longitude
0,LB-485386,,Active,Retail Malt Wine,,,Dorchester Market LLC,Dorchester Market,,"Accessory retail sales of wine & malt beverages (for off-premise consumption) in one room located inside a small, new neighborhood grocery market of approximately 2,800SF. 1 floor in a 5 story building. ",,11:00 PM,,0.0, Dorchester Market LLC, Peter McGee,(617)238-7406,,951-  Dorchester AV,dorchester,MA,02125,"951-  Dorchester AV, Dorchester, MA, 02125",42.31825119840348,-71.0570022186393
1,LB-481088,,Active,CV7ALN - Neighborhood Restricted,2022-09-29,2022-12-31,Yak Thai Inc.,Thonglor,,"1,000SF: in one room on first floor (seating for 32), kitchen in rear, storage in basement.",,11:00 PM,11:30 PM,32.0, Yak Thai Inc., Piyapong Wongla,(781)472-0835,,559-  Washington ST,brighton,MA,02135,"559-  Washington ST, Brighton, MA, 02135",42.349488649862366,-71.163704552356
2,LB-476655,,Active,CV7ALN - Neighborhood Restricted,2022-09-26,2022-12-31,HOMESTEAD BAKERY & CAFE LLC,,,"homestead bakery & cafe LLC is located on the ground floor of approximately 1,000SF. There is a handicap-accessible bathroom, an open kitchen, and a dining area with 31 seats. There is additional storage space in the basement not accessible to the patrons. ",,10:00 PM,10:30 PM,0.0, homestead bakery & cafe LLC, Annie Le,(617)858-0468,,1448-  Dorchester AVE,dorchester,MA,02122,"1448-  Dorchester AVE, Dorchester, MA, 02122",42.30113999996907,-71.05975000121995
3,LB-445763,,Active,Retail Malt Wine,2022-08-30,2022-12-31,Grove Hall Foods Corp.,Grove Hall Convenience Market II,,,,11:00 PM,,0.0, Grove Hall Foods Corp., Edward Guerrero,(617)708-0775,,292-   Talbot AVE,boston,MA,02124,"292-   Talbot AVE, Boston, MA, 02124",42.29104000000455,-71.07436000123197
4,LB-469486,,Active,Retail Malt Wine,2022-08-24,2022-12-31,Rupal Corporation,J&J Discount Mini Mart,No singles,"Premise is located at 131 West Broadway South Boston- Retail Store on 1st Floor consisting of approximately 1,400SF of land , storage located in the basement and has three arrears of egress. ",,9:00 PM,,0.0, Rupal Corporation, Michael David Gannon,(617)268-0455,,131- W Broadway ,southboston,MA,02127,"131- W Broadway , South Boston, MA, 02127",42.34079727341521,-71.05433919313035
5,LB-483679,,Active,CV7 All Alc. Airp.,2022-08-24,2022-12-31,"PremAir of Boston, LLC",Harpoon Tap Room,,"Logan International Airport, Terminal A, space AS2-A13/1. Post security, satellite, gate area, total square footage is 1,358 with a seating capacity of 65.   ",,30 minutes prior to last departure,,65.0," PremAir of Boston, LLC.", Kelliann Van Kleeck McClintock,(305)898-7414,,100     Terminal RD,eastboston,MA,02128,"100     Terminal RD, East Boston, MA, 02128",42.36453986074342,-71.02181743226055
6,LB-482851,,Active,Clb. All Alc. Airport,2022-08-01,2022-12-31,"DELTA AIR LINES, INC.",Delta Sky Club Express,,"Approximately 3,506 SF of lounge space on a single floor located in Terminal E of Logan Airport with 81 seats, reception area, dining and buffet area, pantry storage restrooms, one entrance and two exits.",,2:00 AM,2:30 AM,86.0," Delta Air Lines, Inc.", Rebecca Bassila,(617)568-2070,,"      Logan Airport, Terminal E  ",eastboston,MA,02128,"      Logan Airport, Terminal E  , East Boston, MA, 02128",34.24438675300125,-73.6513909034731
7,LB-480008,,Active,Retail Malt Wine,2022-07-26,2022-12-31,"La Riqueza Market, Inc. ",La Riqueza Market,,"3 story preexisting structure with convenience store on first floor (855SF).  First floor includes one room for the convenience store, private storage areas, and an employee restroom. ",,9:00PM,9:30 PM,0.0, La Riqueza Market Inc, Jose W. Perez,(617)346-1788,,132-   Meridian ST,boston,MA,02128,"132-   Meridian ST, Boston, MA, 02128",42.37368000000495,-71.03926000123357
8,LB-481086,,Active,Retail All Alc.,2022-07-19,2022-12-31,Fresh Boston Retail LLC,Fresh Boston,No Nips Singles,In one section of first floor of 232 Old Colony Avenue consisting of 341 square feet with one entrance.,,11:00 PM,,0.0, Fresh Boston Retail LLC, Alexis Sillery,(781)243-9346,,232-  Old Colony AV,southboston,MA,02127,"232-  Old Colony AV, South Boston, MA, 02127",42.33231315712513,-71.05329617361232
9,LB-476657,,Active,CV7 All Alc. Airp.,2022-07-15,2022-12-31,"DLW DINE BOSTON, LLC",Dine Boston Bar & Grille,,"a 3,405SF full-service bar and restaurant (seating for 95) on the 3rd level at the west end (pre-security) of Terminal E.  ",,2:00 AM,2:30 AM,285.0," DLW Dine Boston, LLC", Antonio Alicea,(781)521-9643,,"      Logan Airport, Terminal E  ",eastboston,MA,02128,"      Logan Airport, Terminal E  , East Boston, MA, 02128",34.24438675300125,-73.6513909034731
10,LB-469475,,Active,Retail Malt Wine,2022-07-05,2022-12-31,Archana Corp,EZ Market,No singles,"Premise is 77 Stoughton St Dorchester MA-Convenience Retail Store on 1st Floor consisting of approximately 2,570SF of land , storage located in the back of the store and two arrears of egress. ",,9:00 PM,,0.0, Archana Corp, Devyani Patel,(617)514-7800,,77-   Stoughton ST,boston,MA,02125,"77-   Stoughton ST, Boston, MA, 02125",42.315810000004674,-71.06265000123244
11,LB-476651,,Active,Retail Malt Wine,2022-06-15,2022-12-31,Scire Fruit,Going Bananas Market,No singles,"Premise consist of a grocery store consisting of sixteen hundred (1,600) square feet of space on the first floor and one (1,000) square feet of basement space located at 64 Salem Street unit C1, Boston, MA. ",,9:00 PM,,0.0," Scire Fruit, INC", Frank Scire,(781)636-8158,,64-   Salem ST,boston,MA,02113,"64-   Salem ST, Boston, MA, 02113",42.363390000004756,-71.05612000123338
